X,Y
16.616766,39.3374
16.716867,39.3374
16.816968,39.5783
16.917069,39.8192
17.01717,40.0205
17.117271,40.2647
17.217372,40.6673
17.317473,40.829
17.417574,40.9907
17.517675,41.1524
17.617776,41.489
17.717877,41.6639
17.817978,41.8388
17.918079,42.0137
18.01818,42.3734
18.118281,42.5582
18.218382,42.743
18.318483,42.9278
18.418584,43.2974
18.518685,43.4822
18.618786,43.667
18.718887,43.8518
18.818988,44.1818
18.919089,44.3171
19.01919,44.4557
19.119291,44.5943
19.219392,44.8319
19.319493,44.9474
19.419594,45.0794
19.519695,45.2279
19.619796,45.4061
19.719897,45.4853
19.819998,45.548
19.920099,45.5975
20.0202,45.8021
20.120301,45.977
20.220402,46.1486
20.320503,46.3235
20.420604,46.6634
20.520705,46.8284
20.620806,46.9934
20.720907,47.1584
20.821008,47.4719
20.921109,47.594
21.02121,47.7425
21.121311,47.8943
21.221412,48.1649
21.321513,48.2969
21.421614,48.4454
21.521715,48.6104
21.621816,48.8051
21.721917,48.8942
21.822018,48.98
21.922119,49.0658
22.02222,49.1483
22.122321,49.1945
22.222422,49.2308
22.322523,49.2572
22.422624,49.3958
22.522725,49.5212
22.622826,49.6466
22.722927,49.772
22.823028,50.0195
22.923129,50.135
23.02323,50.2835
23.123331,50.4452
23.223432,50.6102
23.323533,50.6597
23.423634,50.6894
23.523735,50.6993
23.623836,50.6861
23.723937,50.6663
23.824038,50.6498
23.924139,50.63
24.02424,50.6201
24.124341,50.6036
24.224442,50.5805
24.324543,50.5475
24.424644,50.5145
24.524745,50.4848
24.624846,50.4716
24.724947,50.4848
24.825048,50.5178
24.925149,50.5607
25.02525,50.6003
25.125351,50.63
25.225452,50.6465
25.325553,50.663
25.425654,50.6828
25.525755,50.6993
25.625856,50.7125
25.725957,50.7257
25.826058,50.7224
25.926159,50.6993
26.02626,50.6696
26.126361,50.6432
26.226462,50.6201
26.326563,50.6102
26.426664,50.6201
26.526765,50.6432
26.626866,50.6762
26.726967,50.7158
26.827068,50.7653
26.927169,50.7752
27.02727,50.8247
27.127371,50.8643
27.227472,50.894
27.327573,50.9006
